	open	ma5	close	volume	ochl_1	ochl_2	ochl_3	ochl_4	ochl_5
1056	873.393	875.0406	882.478	1310497300.0	874.575	878.361	877.278	881.524	879.252
1057	875.956	873.709	872.865	1008274500.0	882.478	874.575	878.361	877.278	881.524
1058	866.618	877.9904	876.282	1044365100.0	872.865	882.478	874.575	878.361	877.278
1059	875.862	884.0644	867.729	1197337600.0	876.282	872.865	882.478	874.575	878.361
1060	873.472	891.4014	875.849	1190858800.0	867.729	876.282	872.865	882.478	874.575
1061	892.617	896.2146	875.82	1216712300.0	875.849	867.729	876.282	872.865	882.478
1062	905.967	900.7994	894.272	1121340100.0	875.82	875.849	867.729	876.282	872.865
1063	905.129	902.4182	906.652	921898200.0	894.272	875.82	875.849	867.729	876.282
1064	899.645	900.6124	904.414	1136458800.0	906.652	894.272	875.82	875.849	867.729
1065	898.891	900.6952	899.915	1260872500.0	904.414	906.652	894.272	875.82	875.849
1066	902.036	904.012	898.744	1103304800.0	899.915	904.414	906.652	894.272	875.82
1067	897.366	908.9602	902.366	1136631700.0	898.744	899.915	904.414	906.652	894.272
1068	903.266	912.431	897.623	1055250600.0	902.366	898.744	899.915	904.414	906.652
1069	916.337	914.3706	904.828	1012394000.0	897.623	902.366	898.744	899.915	904.414
1070	923.426	916.8834	916.499	1082890400.0	904.828	897.623	902.366	898.744	899.915
1071	920.453	916.7786	923.485	1220885200.0	916.499	904.828	897.623	902.366	898.744
1072	906.628	912.8254	919.72	775829500.0	923.485	916.499	904.828	897.623	902.366
1073	917.211	909.7242	907.321	715845100.0	919.72	923.485	916.499	904.828	897.623
1074	916.587	911.957	917.392	900143300.0	907.321	919.72	923.485	916.499	904.828
1075	904.28	911.7094	915.975	1193897800.0	917.392	907.321	919.72	923.485	916.499
1076	903.328	913.1692	903.719	885031000.0	915.975	917.392	907.321	919.72	923.485
1077	918.866	921.307	904.214	1108605600.0	903.719	915.975	917.392	907.321	919.72
1078	915.84	932.848	918.485	883624100.0	904.214	903.719	915.975	917.392	907.321
1079	921.51	943.3782	916.154	1154764400.0	918.485	904.214	903.719	915.975	917.392
1080	942.726	953.6464	923.274	1811552500.0	916.154	918.485	904.214	903.719	915.975
1081	961.374	962.9112	944.408	1854189500.0	923.274	916.154	918.485	904.214	903.719
1082	971.379	968.0682	961.919	1863660400.0	944.408	923.274	916.154	918.485	904.214
1083	967.44	968.4392	971.136	1473742100.0	961.919	944.408	923.274	916.154	918.485
1084	969.619	964.1132	967.495	1397857100.0	971.136	961.919	944.408	923.274	916.154
1085	970.58	960.4272	969.598	1637767900.0	967.495	971.136	961.919	944.408	923.274
1086	964.97	957.564	970.193	1995829100.0	969.598	967.495	971.136	961.919	944.408
