date	open	ma5	high	close	low	volume
2014-09-09	2452.227	2423.201	2454.893	2445.224	2437.078	118194344.0
2014-09-05	2433.174	2405.22	2450.634	2449.259	2427.987	133551760.0
2014-09-04	2411.934	2383.025	2427.297	2426.224	2404.082	111272296.0
2014-09-03	2389.694	2360.036	2414.26	2408.838	2389.679	129734208.0
2014-09-02	2359.862	2343.787	2387.655	2386.46	2349.949	114436736.0
2014-09-01	2340.925	2331.314	2355.552	2355.317	2338.53	77320872.0
2014-08-29	2317.304	2328.823	2338.774	2338.287	2313.262	63211424.0
2014-08-28	2328.059	2334.238	2336.363	2311.278	2309.639	70490656.0
2014-08-27	2323.79	2342.832	2336.737	2327.595	2322.885	67676224.0
2014-08-26	2339.6	2350.541	2350.391	2324.092	2317.184	93844224.0
2014-08-25	2367.019	2360.676	2367.606	2342.863	2338.455	97373720.0
2014-08-22	2352.316	2367.016	2368.457	2365.364	2350.986	89823936.0
2014-08-21	2365.731	2366.07	2367.46	2354.244	2333.299	100690208.0
2014-08-20	2371.649	2362.41	2375.475	2366.14	2360.837	101288088.0
2014-08-19	2378.886	2360.962	2379.474	2374.768	2358.965	115850016.0
2014-08-18	2366.272	2357.419	2379.804	2374.562	2361.197	104509552.0
2014-08-15	2337.985	2355.576	2366.902	2360.635	2333.123	93592544.0
2014-08-14	2357.198	2349.676	2363.18	2335.945	2334.08	97969496.0
2014-08-13	2358.459	2347.979	2370.513	2358.901	2335.694	110447792.0
2014-08-12	2361.17	2348.843	2361.17	2357.052	2344.716	91822608.0
2014-08-11	2338.008	2351.303	2367.004	2365.349	2337.014	91601168.0
2014-08-08	2329.184	2353.357	2339.27	2331.134	2319.288	86739696.0
2014-08-07	2363.608	2353.011	2369.204	2327.457	2326.268	116729208.0
2014-08-06	2358.206	2357.569	2371.667	2363.221	2334.334	116341832.0
2014-08-05	2376.797	2349.327	2380.774	2369.353	2353.795	111861792.0
2014-08-04	2336.63	2341.731	2375.62	2375.62	2332.138	116713752.0
2014-08-01	2341.227	2331.386	2371.5	2329.402	2328.966	126317392.0
2014-07-31	2321.967	2317.596	2350.551	2350.251	2316.585	110987768.0
2014-07-30	2324.69	2294.949	2339.038	2322.011	2316.058	123022832.0
2014-07-29	2326.038	2270.114	2342.77	2331.369	2316.217	134269648.0
2014-07-28	2272.383	2242.379	2331.472	2323.897	2272.383	179869328.0
2014-07-25	2243.067	2210.859	2260.89	2260.454	2239.066	98972840.0
